"MSA_NECH","MSA_POP"
"0",0
"40",129477
"120",122512
"160",915927
"200",845698
"220",130800
"240",703045
"280",127071
"320",236935
"380",284267
"450",117149
"460",387391
"480",253798
"500",174376
"520",4968292
"600",521097
"640",1627571
"680",815693
"720",0
"733",152934
"743",217483
"760",684388
"840",384583
"860",195993
"870",157232
"880",144050
"920",361281
"960",252181
"1000",982142
"1010",105488
"1020",134442
"1040",166706
"1080",563441
"1120",0
"1123",6227093
"1240",393566
"1260",185426
"1280",1137266
"1303",209381
"1320",405334
"1350",73520
"1360",207765
"1400",197867
"1440",641930
"1480",247710
"1520",1873232
"1540",182290
"1560",504474
"1580",89221
"1600",0
"1602",9449406
"1620",218635
"1642",2078725
"1660",236281
"1692",2891549
"1720",599988
"1740",158067
"1760",625160
"1800",270099
"1840",1712854
"1880",400470
"1900",102434
"1920",0
"1922",6219078
"1950",106934
"1960",360185
"2000",940090
"2020",587859
"2030",151867
"2040",110719
"2082",2891368
"2120",526361
"2160",0
"2162",5376674
"2180",148759
"2190",156918
"2200",92547
"2240",243379
"2290",158847
"2320",772280
"2330",196855
"2335",88708
"2340",59093
"2360",279234
"2400",347156
"2440",308734
"2520",201499
"2560",312994
"2580",407103
"2620",138717
"2650",146208
"2655",134897
"2670",291162
"2700",606165
"2710",413981
"2720",226480
"2750",182076
"2760",525518
"2840",1056568
"2880",104066
"2900",244247
"2975",128795
"2980",120102
"2985",98107
"2995",142284
"3000",1145416
"3040",80562
"3080",244376
"3120",1392452
"3150",161385
"3160",1070950
"3240",673099
"3280",0
"3283",1203823
"3285",126849
"3290",362665
"3320",936984
"3350",206559
"3360",0
"3362",5655671
"3400",314933
"3440",401694
"3480",1795384
"3500",126994
"3520",161569
"3560",476577
"3580",114171
"3600",1292647
"3605",169207
"3610",135263
"3620",159964
"3660",503372
"3680",222960
"3700",93329
"3710",172590
"3720",460943
"3760",1937583
"3810",368771
"3840",772842
"3850",99458
"3870",132045
"3880",412750
"3920",201905
"3960",189134
"3980",590116
"4000",511250
"4040",463602
"4080",240346
"4100",201670
"4120",2138576
"4150",109052
"4200",119902
"4243",107882
"4280",541341
"4320",152609
"4360",279428
"4400",653720
"4420",222694
"4472",17647612
"4480",0
"4520",1104451
"4600",269932
"4640",227912
"4680",354250
"4720",477748
"4800",170274
"4880",736973
"4890",200587
"4900",540583
"4920",1225231
"4940",250699
"4992",1734139
"5082",1734633
"5120",3229181
"5160",584411
"5170",509682
"5200",152207
"5240",358823
"5280",117344
"5330",258267
"5345",316931
"5360",1454684
"5483",1762030
"5523",272360
"5560",1127116
"5600",0
"5602",19840495
"5640",0
"5720",1656031
"5790",326833
"5800",265118
"5880",1202303
"5920",795047
"5960",2083626
"5990",95398
"6015",166798
"6020",148797
"6080",445778
"6120",357197
"6160",0
"6162",6437940
"6200",4080707
"6240",78447
"6280",2288824
"6323",131528
"6340",80701
"6403",279994
"6440",0
"6442",2543571
"6483",973136
"6520",486067
"6560",156244
"6580",159385
"6640",1519260
"6660",97922
"6680",407310
"6690",176906
"6720",412844
"6740",238406
"6760",1118299
"6800",244884
"6820",141244
"6840",1109788
"6880",401117
"6895",150649
"6920",0
"6922",2107092
"6960",394118
"6980",186075
"7000",105201
"7040",2696326
"7120",407435
"7160",1517536
"7200",108000
"7240",1916880
"7320",3022468
"7360",0
"7362",7259326
"7460",265577
"7480",416051
"7490",159793
"7510",694819
"7520",335980
"7560",627755
"7602",3925621
"7610",117296
"7620",115328
"7640",119111
"7680",408123
"7720",121891
"7760",207088
"7800",266522
"7840",461262
"7880",207990
"7920",380024
"8003",619596
"8050",151411
"8080",125101
"8120",673613
"8140",106601
"8160",739242
"8240",316440
"8280",2745350
"8320",150546
"8360",134447
"8400",612097
"8440",175537
"8520",964462
"8560",861139
"8600",188331
"8640",203393
"8680",298865
"8750",85813
"8780",429404
"8800",229587
"8840",0
"8872",8415633
"8920",129252
"8940",132644
"8960",1299356
"9000",148354
"9040",585126
"9080",140031
"9140",116376
"9200",299266
"9260",236542
"9280",428175
"9320",563288
"9340",164580
"9360",190526
